DateTime,AddedIPs,RemovedIPs
1532965211,624,86
1532965934,14,10
1532967339,157,1313
1532967855,22,12
1532968209,83,250
1532969783,27,10
1532970042,82,105
1532970609,125,146
1532971694,18,8
1532972738,129,0
1532973629,24,15
1532974674,491,359
1532975538,16,16
1532976308,200,54
1532977459,26,8
1532978106,90,45
1532978409,111,0
1532979375,79,14
1532980008,101,48
1532981296,19,13
1532983246,208,56
1532983508,58,95
1532985139,11,15
1532985307,164,25
1532987069,20,21
1532987110,113,61
1532987766,44,1
1532988973,18,21
1532989685,86,33
1532990899,18,19
1532991641,110,56
1532992838,289,0
1532993287,102,55
1532994754,11,14
1532994966,87,107
1532996665,13,11
1532997039,82,61
1532998592,152,81
1532999653,111,34
1533000492,12,8
1533001327,96,76
1533002479,52,17
1533003254,55,42
1533004343,21,9
1533005107,114,59
1533006267,16,6
1533006904,91,17
1533006913,76,53
1533008186,18,9
1533008756,50,98
1533010108,16,11
1533010506,151,82
1533012013,8,11
1533012126,128,81
1533013959,40,9
1533014106,129,60
1533014887,44,0
1533015858,55,106
1533016566,49,0
1533017795,22,17
1533018605,73,51
1533019698,99,80
1533020707,176,102
1533021619,22,13
1533021828,98,0
1533023570,17,12
1533025471,325,204
1533026107,76,76
1533027384,14,16
1533028557,144,49
1533029297,19,16
1533030006,57,0
1533031240,197,948
1533033402,111,55
1533033950,135,75
1533035299,509,19
1533035601,60,40
1533036486,74,0
1533037230,16,25
1533038165,96,47
1533039154,21,17
1533040262,72,48
1533041056,17,23
1533041766,145,78
1533042994,18,28
1533043686,113,64
1533044915,17,277
1533045629,178,88
1533046810,18,15
1533048996,268,318
1533049262,123,782
1533050894,84,70
1533051726,108,136
1533053082,25,18
1533053647,114,66
1533054485,67,1
1533055231,18,15
1533056112,147,158
1533057163,31,18
1533058239,337,149
1533059061,17,14
1533059505,338,387
1533059766,84,1
1533060970,28,20
1533061833,366,41
1533062890,12,15
1533064511,205,239
1533064817,13,18
1533067499,1940,166
1533069034,126,53
1533069372,21,23
1533069727,166,105
1533070572,64,0
1533071305,10,13
1533073221,88,337
1533073509,102,1400
1533075153,182,199
1533077054,89,99
1533077158,0,255
1533078975,402,0
1533080908,295,175
1533081664,104,0
1533082821,14,29
1533083406,189,157
1533084126,42,108
1533084763,15,21
1533084967,43,0
1533086654,8,26
1533086887,113,57
1533088582,14,24
1533089646,201,249
1533090491,8,10
1533090628,68,0
1533092439,93,147
1533093343,74,61
1533094351,13,15
1533094928,131,125
1533096275,15,18
1533096608,149,48
1533098173,12,18
1533098415,104,128
1533100096,21,16
1533100552,118,111
1533101285,125,0
1533102028,14,17
1533102530,101,125
1533103956,55,110
1533105857,35,19
1533105945,64,95
1533107796,399,99
1533108670,98,1
1533109692,15,14
1533110465,60,176
1533111621,19,24
1533113541,270,223
1533113766,95,42
1533115464,17,18
1533116098,90,80
1533116708,90,104
1533117375,14,31
1533117654,86,0
1533119303,21,864
1533119451,88,90
1533121237,437,80
1533122145,70,136
1533123151,33,12
1533123648,85,0
1533125303,24,16
1533125744,180,429
1533127226,30,15
1533127326,97,174
1533129140,22,15
1533129347,91,56
1533130262,70,0
1533131056,73,230
1533131771,69,0
1533132985,27,22
1533134893,1115,89
1533135596,185,196
1533136536,67,13
1533136822,17,15
1533138976,106,150
1533140129,102,119
1533141138,20,10
1533141726,223,167
1533142566,112,0
1533143054,14,22
1533143730,0,255
1533144640,145,83
1533145228,85,126
1533145506,0,247
1533146165,124,130
1533146459,255,0
1533147140,20,108
1533147610,126,0
1533149064,18,13
1533150060,139,154
1533150975,179,153
1533152897,180,209
1533154505,202,149
1533154812,20,26
1533155705,121,117
1533156733,14,10
1533156906,113,48
1533158652,23,21
1533159006,107,68
1533159307,78,103
1533160570,17,21
1533161714,136,239
1533162492,7,21
1533162906,82,142
1533164432,362,0
1533165347,155,153
1533166838,68,24
1533168744,9,11
1533168945,156,582
1533170669,98,161
1533172595,88,66
1533174506,94,173
1533176144,136,90
1533176415,20,22
1533177727,110,93
1533178331,12,24
1533179750,70,111
1533180256,11,14
1533180486,64,0
1533182181,20,17
1533182466,58,167
1533183502,136,111
1533184092,15,12
1533184737,89,85
1533186035,21,26
1533186961,47,0
1533187029,61,97
1533187942,9,6
1533188742,31,1
1533189012,71,142
1533189877,19,18
1533190212,49,132
1533191787,70,13
1533192605,60,206
1533193708,12,24
1533195033,119,139
1533195622,24,21
1533195727,36,143
1533196847,54,0
1533197538,29,25
1533197646,58,110
1533199458,14,19
1533199967,107,110
1533201382,125,168
1533202275,88,1
1533202926,109,96
1533203308,29,24
1533203776,61,0
1533205209,18,782
1533206399,174,225
1533207135,28,15
1533207365,56,34
1533209061,341,0
1533209461,57,69
1533209909,101,117
1533211263,138,48
1533213140,142,85
1533214607,103,160
1533215075,13,13
1533215750,103,122
1533216975,23,9
1533217566,119,149
1533218905,22,11
1533219006,144,230
1533219351,0,503
1533220810,279,18
1533221129,93,118
1533221447,122,1
1533222736,107,134
1533224910,210,185
1533226818,29,12
1533227633,186,111
